id,followers_count,friends_count,location,name,verified
0,4284242,477,india,CNNnews18,True
1,395,0,india,indianlivefeed,False
2,9115399,391,india,TimesNow,True
3,5274393,231,india,IndiaToday,True
4,728840,3,india,republic,True
5,12180295,538,new delhi,timesofindia,True
6,285,88,,TimesofNewsHUB,False
7,6976360,130,india,htTweets,True
8,1365,765,"saket, new delhi",mytentaran,False
9,65,0,new delhi,ranjitrana4u,False
10,460,2361,,18AKGOYAL,False
11,11838662,14,india,ndtv,True
12,122703,165,india,news18dotcom,True
13,16074,5427,worldwide,Hindutva__watch,False
14,1351,5002,usa ,KSMANN,False
15,5585,4590,new delhi,tarunkumar006,False
16,58977,702,india,Oneindia,True
17,26637,44,new delhi,ians_india,True
18,713443,264,mumbai,moneycontrolcom,True
19,340582,312,,TheQuint,True
20,405227,266,india,tv9gujarati,True
21,43,28,india,indiaclickings,False
22,47141,326,india,latestly,True
23,2033320,998,india,firstpost,True
24,818736,34,india,indiatvnews,True
25,198138,128,new delhi,OpIndia_com,True
26,153521,418,india,NewsNationTV,True
27,4580,62,india,WeForNews,False
28,60967,615,national capital region,dev_discourse,False
29,4971,2463,🇪🇺🇩🇪🇫🇷🚩,LegalKant,False
30,3223781,0,india,ANI,True
31,0,0,,nirvachan_guru,False
32,12967,6,bengaluru,NEWS9TWEETS,True
33,6341,65,india,HindustanTimes,True
34,378935,539,chennai,NewIndianXpress,True
35,38762,677,india,DeccanHerald,True
36,1823693,383,india,bsindia,True
37,208139,52,india,Outlookindia,True
38,1105513,22,india,TOIIndiaNews,True
39,3240376,386,india,IndianExpress,True
40,3360379,43,,EconomicTimes,True
41,2429,296,india,thenglishpost,False
42,574208,44,india,FinancialXpress,True
43,193889,171,noida,news24tvchannel,False
44,2071301,369,india,dna,True
45,5597158,200,india,the_hindu,True
46,2451,279,,pennewstweet,False
47,399,110,online,TPE_connect,False
48,67119,39,india,DailyO_,True
49,17194,6136,indraprastha ,sri9011,False
50,51,66,,VRangade,False
51,49,59,,vishal185526203,False
52,131442,86,india,ThePrintIndia,True
53,64,31,india,vishal210487,False
54,201274,1274,"vancouver, british columbia",threadreaderapp,False
55,2496,435,india,Puneetvizh,False
56,548,415,chandigarh,DailyWorldChd,False
57,70190,182,india,DeccanChronicle,True
58,888,70,online,PigeonExpress_,False
59,13064,94,india,NewsMobileIndia,False
60,1839472,280,india,livemint,True
61,2199648,36,pakistan,ARYNEWSOFFICIAL,True
62,0,0,,JagranPost,False
63,85527,93,india,WIONews,True
64,25,111,,BalGovindPasi2,False
65,826,1698,india,somsirsa,False
66,541776,117,islamabad,RadioPakistan,True
67,17723,19,"jammu, jammu and kashmir",JAMMULINKS,False
68,78258,315,india,NH_India,True
69,540,457,new delhi,umakantsingh_IN,False
70,2601,122,india,IndiaAheadNews,False
71,1359,1391,india,aftabistan,False
72,2836,441,,Dharma2X,False
73,58764,257,chandigarh,thetribunechd,True
74,488,519,india,GabbarSinggg,False
75,174,416,india,RAJULYADAV8,False
76,237474,52,india,TV9Telugu,True
77,290,19,"new york, usa",southasiansnews,False
78,2112,110,india,tamilnaadulive,False
79,267874,89,,scroll_in,True
80,440,560,,aginner_,False
81,102860,248,india,BloombergQuint,True
82,8328,287,india,Satyanewshi,False
83,0,0,,mrdevarshijoshi,False
84,2068,0,india,madhusudan41,False
85,7335,3759,जै हिंद की सेना🇮🇳वंदे मातरम्,ssharma68,False
86,2247,407,india,OmmcomNews,False
87,244,0,everywhere,OnlineArticles_,False
88,1322,722,worldwide,prathod2008,False
89,972425,362,india,BT_India,True
90,2476,1788,"toronto, canada",hitech_guru,False
91,37745,276,india,ThinkersPad,False
92,19221,110,,TheDailyPioneer,True
93,538761,136,,thewire_in,True
94,68767,30,india,MirrorNow,True
95,498,123,india,DisDatNothin,False
96,8415,1005,,nc24x7,False
97,561681,187,india,NewsX,True
98,0,0,,LightDemUp,False
99,149150,670,india,SwarajyaMag,True
100,42645,46004,kanyakumari tamilnadu,56perumal,False
101,2203,46,new delhi,epatrakaar,False
102,8993,496,houston / sugarland,ask0704,False
103,1161,343,kalyanipuri,Suchindranath,False
104,406,237,pakistan,SherySyed2,False
105,6757,2448,india,indiablooms,False
106,218,547,,p_jaikumar,False
107,52,40,,CHELLAPPANARAYA,False
108,2030,4987,paris old eu,ormiga,False
109,232251,9390,india,AdityaRajKaul,True
110,142,66,,PawsnSingh,False
111,3415,1663,asia,watsupasia,False
112,0,0,,BreakingNewsTo7,False
113,134287,24,,HuffPostIndia,True
114,158857,24,,ndtvfeed,True
115,103,143,india,LaxmanShriram78,False
116,366227,564,india,BTVI,True
117,4631652,47,india,ZeeNews,True
118,14498,81,india,RavinarIN,False
119,2028,2955,,ramesh94_bithar,False
